PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG, HMDB_ID
1457,(12 or 13)-methylmyristate (a15:0 or i15:0),Lipid,"Fatty Acid, Branched",38293,LC/MS Neg,100002344,5499,241.2173,2485-71-4,151014,133106,,
1460,(14 or 15)-methylpalmitate (a17:0 or i17:0),Lipid,"Fatty Acid, Branched",38768,LC/MS Neg,100002945,5695,269.24868,,17903417,,,
1464,(16 or 17)-methylstearate (a19:0 or i19:0),Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,2724-59-6,3083779,2340933,,HMDB37397
1332,(2 or 3)-decenoate (10:1n7 or n8),Lipid,Medium Chain Fatty Acid,63436,LC/MS Neg,100021502,4990,169.1234,,,,,
4662,"(2,4 or 2,5)-dimethylphenol sulfate",Xenobiotics,Food Component/Plant,62533,LC/MS Neg,100020519,3474,201.0227,,,,,
475,(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,57814,LC/MS Pos Early,100016038,3080,188.17574,,,,,
1693,(R)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",43264,LC/MS Pos Early,100003926,2400,248.14925,,53481617,,,HMDB13127
1694,(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",52984,LC/MS Pos Early,100009271,2340,248.14925,,,,,HMDB13127
4670,(S)-a-amino-omega-caprolactam,Xenobiotics,Food Component/Plant,63339,LC/MS Pos Early,100021329,2378,129.10224,21568-87-6,439823,388871,C05328,
5329,"1,2,3-benzenetriol sulfate (1)",Xenobiotics,Chemical,48761,LC/MS Neg,100006373,1453,204.98123,,,,,
5324,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,48762,LC/MS Neg,100006374,1709,204.98123,,,,,
4149,"1,3,7-trimethylurate",Xenobiotics,Xanthine Metabolism,34404,LC/MS Neg,100001397,1985,209.06801,5415-44-1,79437,71754,C16361,HMDB02123
4146,"1,3-dimethylurate",Xenobiotics,Xanthine Metabolism,32391,LC/MS Neg,100001106,1671.4,195.05236,944-73-0,70346,63527,,HMDB01857
1070,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.06119,154-58-5,64960,,C07326,HMDB02712
4259,"1,6-anhydroglucose",Xenobiotics,Food Component/Plant,21049,LC/MS Polar,100000939,1175.5,207.05102,498-07-7,2724705,9587432,,HMDB00640
4147,"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism,34400,LC/MS Neg,100001399,1578.6,195.05236,33868-03-0,91611,82720,C16356,HMDB11103
294,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62559,LC/MS Neg,100020425,2663,202.10848,,,,,
136,1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,62566,LC/MS Neg,100020419,2844,236.09283,,,19276386,,
358,1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62562,LC/MS Neg,100020423,2008,188.09283,,,,,
5151,1-hydroxy-2-naphthalenecarboxylate,Xenobiotics,Drug - Other,38140,LC/MS Neg,100002394,3930,187.04006,86-48-6,6844,6583,C03203,
2298,1-linoleoyl-GPA (18:2)*,Lipid,Lysophospholipid,52690,LC/MS Neg,100009082,5483,433.23606,,,24766514,,HMDB07856
2413,1-linoleoyl-GPG (18:2)*,Lipid,Lysophospholipid,54885,LC/MS Neg,100009227,5516,507.27284,,,,,
86,1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism,32350,LC/MS Pos Early,100001208,2064,141.06586,2625-49-2,75810,68319,C05828,HMDB02820
87,1-methyl-5-imidazoleacetate,Amino Acid,Histidine Metabolism,62946,LC/MS Pos Early,100002910,1989,141.06586,4200-48-0,6451814,4954265,,HMDB04988
68,1-methylhistidine,Amino Acid,Histidine Metabolism,30460,LC/MS Neg,100001051,1227,168.07785,332-80-9,92105,83153,C01152,HMDB00001
3920,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,27665,LC/MS Pos Early,55,1940,137.07094,1005-24-9,457,8305504,C02918,HMDB00699
4144,1-methylurate,Xenobiotics,Xanthine Metabolism,34395,LC/MS Neg,100001400,1099,181.03671,708-79-2,69726,62926,C16359,HMDB03099
4150,1-methylxanthine,Xenobiotics,Xanthine Metabolism,34389,LC/MS Neg,100001405,1568.8,165.0418,6136-37-4,80220,72464,C16358,HMDB10738
2402,1-oleoyl-GPS (18:1),Lipid,Lysophospholipid,19260,LC/MS Neg,100000630,5607,522.28374,326589-90-6,9547099,7826049,,HMDB61694
2407,1-palmitoyl-GPG (16:0)*,Lipid,Lysophospholipid,45970,LC/MS Neg,100005717,5570,483.27284,,3300276,2548639,,
89,1-ribosyl-imidazoleacetate*,Amino Acid,Histidine Metabolism,61868,LC/MS Pos Early,100001668,2006,259.09247,29605-99-0,5117448,4292299,C05131,HMDB02331
2228,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),Lipid,Phosphatidylserine (PS),52235,LC/MS Pos Late,100001872,2565,812.54361,,,,,HMDB12383
2245,1-stearoyl-2-oleoyl-GPG (18:0/18:1),Lipid,Phosphatidylglycerol (PG),52623,LC/MS Polar,100001866,717,775.54946,322647-48-3,,,,
2225,1-stearoyl-2-oleoyl-GPS (18:0/18:1),Lipid,Phosphatidylserine (PS),19265,LC/MS Pos Late,100000639,3000,790.55926,,9547087,7826037,,HMDB10163
2409,1-stearoyl-GPG (18:0),Lipid,Lysophospholipid,34437,LC/MS Neg,100001462,5816,511.30414,,,21403138,,
2401,1-stearoyl-GPS (18:0)*,Lipid,Lysophospholipid,45966,LC/MS Neg,100004327,5800,524.29939,,9547101,7826051,,
1357,10-heptadecenoate (17:1n7),Lipid,Long Chain Monounsaturated Fatty Acid,33971,LC/MS Neg,100001278,5555,267.23295,29743-97-3,5312435,4471860,,HMDB60038
4957,10-hydroxywarfarin,Xenobiotics,Drug - Cardiovascular,62970,LC/MS Neg,100020811,3910,323.09249,,,19983904,,
1365,10-nonadecenoate (19:1n9),Lipid,Long Chain Monounsaturated Fatty Acid,33972,LC/MS Neg,100001277,5780,295.26425,73033-09-7,5312513,4471938,,HMDB13622
1334,10-undecenoate (11:1n1),Lipid,Medium Chain Fatty Acid,32497,LC/MS Neg,100001197,5085.8,183.13905,1333-28-4,14891,10771160,C13910,HMDB33724
3060,11beta-hydroxyandrosterone glucuronide,Lipid,Androgenic Steroids,63251,LC/MS Neg,100020541,4209,481.2443,,,,,
1792,"12,13-DiHOME",Lipid,"Fatty Acid, Dihydroxy",38395,LC/MS Neg,62,5137,313.23843,263399-35-5,10236635,8412123,C14829,HMDB04705
1767,13-HODE + 9-HODE,Lipid,"Fatty Acid, Monohydroxy",37752,LC/MS Neg,100002196,5275,295.22825,,43013,,,
1818,14-HDoHE/17-HDoHE,Lipid,Docosanoid,53034,LC/MS Neg,100009278,5296,343.22786,,,,,
1763,16-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",39609,LC/MS Neg,100002953,5236.2,271.22786,506-13-8,10466,10034,C18218,HMDB06294
3003,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,38168,LC/MS Neg,100002126,4240,383.15338,,,,,
2923,17alpha-hydroxypregnenolone 3-sulfate,Lipid,Pregnenolone Steroids,37482,LC/MS Neg,100002128,4800,411.18468,28901-70-4,152971,134824,,HMDB00416
3845,2'-deoxyuridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",1412,LC/MS Neg,536,1586,111.01997,951-78-0,13712,13118,C00526,HMDB00012
3871,2'-O-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",57554,LC/MS Pos Early,100010895,2411,258.10845,2140-72-9,150971,133067,,
5350,"2,2'-Methylenebis(6-tert-butyl-p-cresol)",Xenobiotics,Chemical,62885,LC/MS Polar,100020373,703,339.23295,119-47-1,8398,8092,,
366,"2,3-dihydroxy-2-methylbutyrate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57547,LC/MS Neg,100010869,787,133.05063,14868-24-7,301941,266858,,HMDB29576
384,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",62805,LC/MS Neg,100020893,1156,177.0227,,,,,
4261,"2,3-dihydroxyisovalerate",Xenobiotics,Food Component/Plant,38276,LC/MS Polar,100002417,1050,133.05063,1756-18-9,677,657,C04039,HMDB12141
1081,"2,3-diphosphoglycerate",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",15664,LC/MS Neg,1227,555,264.952,102783-53-9,186004,161681,C01159,HMDB01294
